,labels,frequency
0,LAPTOP,523
1,BATTERY,85
2,CPU,26
3,GRAPHICS,25
4,HARD_DISC,38
5,ROOMS,24
6,FOOD_DRINKS,15
7,HOTEL,29
8,ROOMS_AMENITIES,3
9,FACILITIES,19
10,SERVICE,304
11,LOCATION,48
12,RESTAURANT,368
13,FOOD,415
14,DRINKS,95
15,AMBIENCE,202
16,COMPANY,92
17,DISPLAY,129
18,POWER_SUPPLY,13
19,MULTIMEDIA_DEVICES,39
20,SHIPPING,9
21,OPTICAL_DRIVES,7
22,OS,81
23,MOUSE,53
24,KEYBOARD,75
25,SUPPORT,64
26,MEMORY,23
27,SOFTWARE,61
28,FANS_COOLING,6
29,MOTHERBOARD,7
30,HARDWARE,9
31,PORTS,5
32,WARRANTY,6
